element,attrAdj,component,equivalence,animatable,value,value.def
circle,cxy,cx|cy,"cxy =v is equivalent to  cx=v[1], cy=v[2]",yes.,<coordinate>,"The x.axis coordinate of the center of the circle. If the attribute is not specified, the effect is as if a value of ""0"" were specified."
ellipse,cxy,cx|cy,"cxy =v is equivalent to  cx=v[1], cy=v[2]",yes.,<coordinate>,"The x.axis coordinate of the center of the ellipse. If the attribute is not specified, the effect is as if a value of ""0"" were specified."
radialGradient,cxy,cx|cy,"cxy =v is equivalent to  cx=v[1], cy=v[2]",yes.,<coordinate>,"'cx', 'cy' and 'r' define the largest (i.e., outermost) circle for the radial gradient. The gradient will be drawn such that the 100 gradient stop is mapped to the perimeter of this largest (i.e., outermost) circle. If the attribute is not specified, the effect is as if a value of '50' were specified."
altGlyph,dxy,dx|dy,"dxy =v is equivalent to  dx=v[1], dy=v[2]",yes.,<list.of.lengths>,"The <length> values are processed in the same manner as the 'dx' attribute on the 'tspan' element, with the following exception. If the referenced alternate glyphs are rendered instead of the Unicode characters inside the 'altGlyph' element, then any relative X coordinates specified via an 'dx' attribute on this element or any ancestor 'text' or 'tspan' elements for Unicode characters 2 through n within the 'altGlyph' element are ignored. Any relative X coordinate specified via an 'dx' attribute on this element or any ancestor 'text' or 'tspan' elements for the first Unicode character within the 'altGlyph' element sets a new relative X coordinate for the current text position before rendering the first alternate glyph."
glyphRef,dxy,dx|dy,"dxy =v is equivalent to  dx=v[1], dy=v[2]",no.,<number>,"This value represents the relative X coordinate within the font's coordinate system for this glyph. The glyph is thus shifted by <number> units along the positive X axis within the font's coordinate system supplemental to the absolute X coordinate established by the 'x' attribute (either due to an explicit 'x' attribute or due to default value processing for the 'x' attribute). The font coordinate system is based on the em square model described in the Fonts chapter of CSS2 ([CSS2], chapter 15). If the attribute is not specified, the effect is as if the attribute were set to ""0""."
tref,dxy,dx|dy,"dxy =v is equivalent to  dx=v[1], dy=v[2]",yes.,<list.of.lengths>,"If a single <length> is provided, this value represents the new relative X coordinate for the current text position for rendering the glyphs corresponding to the first character within this element or any of its descendants. The current text position is shifted along the x.axis of the current user coordinate system by <length> before the first character's glyphs are rendered. If a comma. or space.separated list of n <length>s is provided, then the values represent incremental shifts along the x.axis for the current text position before rendering the glyphs corresponding to the first n characters within this element or any of its descendants. Thus, before the glyphs are rendered corresponding to each character, the current text position resulting from drawing the glyphs for the previous character within the current 'text' element is shifted along the X axis of the current user coordinate system by <length>. If more <length>s are provided than characters, then any extra <length>s will have no effect on glyph positioning. If more characters exist than <length>s, then for each of these extra characters. (a) if an ancestor 'text' or 'tspan' element specifies a relative X coordinate for the given character via a 'dx' attribute, then the current text position is shifted along the x.axis of the current user coordinate system by that amount (nearest ancestor has precedence), else (b) no extra shift along the x.axis occurs. If the attribute is not specified. (a) if an ancestor 'text' or 'tspan' element specifies a relative X coordinate for a given character via a 'dx' attribute, then the current text position is shifted along the x.axis of the current user coordinate system by that amount (nearest ancestor has precedence), else (b) no extra shift along the x.axis occurs."
tspan,dxy,dx|dy,"dxy =v is equivalent to  dx=v[1], dy=v[2]",yes.,<list.of.lengths>,"If a single <length> is provided, this value represents the new relative X coordinate for the current text position for rendering the glyphs corresponding to the first character within this element or any of its descendants. The current text position is shifted along the x.axis of the current user coordinate system by <length> before the first character's glyphs are rendered. If a comma. or space.separated list of n <length>s is provided, then the values represent incremental shifts along the x.axis for the current text position before rendering the glyphs corresponding to the first n characters within this element or any of its descendants. Thus, before the glyphs are rendered corresponding to each character, the current text position resulting from drawing the glyphs for the previous character within the current 'text' element is shifted along the X axis of the current user coordinate system by <length>. If more <length>s are provided than characters, then any extra <length>s will have no effect on glyph positioning. If more characters exist than <length>s, then for each of these extra characters. (a) if an ancestor 'text' or 'tspan' element specifies a relative X coordinate for the given character via a 'dx' attribute, then the current text position is shifted along the x.axis of the current user coordinate system by that amount (nearest ancestor has precedence), else (b) no extra shift along the x.axis occurs. If the attribute is not specified. (a) if an ancestor 'text' or 'tspan' element specifies a relative X coordinate for a given character via a 'dx' attribute, then the current text position is shifted along the x.axis of the current user coordinate system by that amount (nearest ancestor has precedence), else (b) no extra shift along the x.axis occurs."
text,dxy,dx|dy,"dxy =v is equivalent to  dx=v[1], dy=v[2]",yes.,<list.of.lengths>,"Shifts in the current text position along the x.axis for the characters within this element or any of its descendants. Refer to the description of the 'dx' attribute on the 'tspan' element. If the attribute is not specified on this element or any of its descendants, no supplemental shifts along the x.axis will occur."
feOffset,dxy,dx|dy,"dxy =v is equivalent to  dx=v[1], dy=v[2]",yes.,<number>,"The amount to offset the input graphic along the x.axis. The offset amount is expressed in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element. If the attribute is not specified, then the effect is as if a value of 0 were specified."
radialGradient,fxy,fx|fy,"fxy =v is equivalent to  fx=v[1], fy=v[2]",yes.,<coordinate>,"'fx' and 'fy' define the focal point for the radial gradient. The gradient will be drawn such that the 0 gradient stop is mapped to (fx, fy). If attribute 'fx' is not specified, 'fx' will coincide with the presentational value of 'cx' for the element whether the value for 'cx' was inherited or not. If the element references an element that specifies a value for 'fx', then the value of 'fx' is inherited from the referenced element."
hkern,g12,g1|g2,"g12 =v is equivalent to  g1=v[1], g2=v[2]",no.,"<name> [, <name> ]*","A sequence (comma.separated) of glyph names (i.e., values that match 'glyph.name' attributes on 'glyph' elements) which identify a set of possible first glyphs in the kerning pair. All glyphs with the given glyph name are included in the set. The total set of possible first glyphs in the kerning pair is the union of glyphs specified by the 'u1' and 'g1' attributes."
vkern,g12,g1|g2,"g12 =v is equivalent to  g1=v[1], g2=v[2]",no.,"<name> [, <name> ]*","A sequence (comma.separated) of glyph names (i.e., values that match 'glyph.name' attributes on 'glyph' elements) which identify a set of possible first glyphs in the kerning pair. All glyphs with the given glyph name are included in the set. The total set of possible first glyphs in the kerning pair is the union of glyphs specified by the 'u1' and 'g1' attributes."
filter,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",,<length>,See Filter effects region.
feBlend,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feColorMatrix,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feComponentTransfer,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feComposite,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feConvolveMatrix,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feDiffuseLighting,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feDisplacementMap,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feFlood,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feGaussianBlur,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feImage,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feMerge,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feMorphology,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feOffset,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feSpecularLighting,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feTile,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
feTurbulence,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image)."
foreignObject,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,The height of the rectangular region into which the referenced document is placed. A negative value is an error (see Error processing). A value of zero disables rendering of the element.
image,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,The height of the rectangular region into which the referenced document is placed. A negative value is an error (see Error processing). A value of zero disables rendering of the element.
mask,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"The height of the largest possible offscreen buffer. A negative value is an error (see Error processing). A value of zero disables rendering of the element. If the attribute is not specified, the effect is as if a value of '120' were specified."
pattern,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"See 'x'. A negative value is an error (see Error processing). A value of zero disables rendering of the element (i.e., no paint is applied). If the attribute is not specified, the effect is as if a value of zero were specified."
rect,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,The height of the rectangle. A negative value is an error (see Error processing). A value of zero disables rendering of the element.
svg,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,"For outermost svg elements, the intrinsic height of the SVG document fragment. For embedded 'svg' elements, the height of the rectangular region into which the 'svg' element is placed. A negative value is an error (see Error processing). A value of zero disables rendering of the element. If the attribute is not specified, the effect is as if a value of '100' were specified."
use,wh,height|width,"wh =v is equivalent to  height=v[1], width=v[2]",yes.,<length>,The height of the rectangular region into which the referenced element is placed. A negative value is an error (see Error processing). A value of zero disables rendering of this element.
font,horiz-origin-xy,horiz-origin-x|horiz-origin-y,"horiz-origin-xy =v is equivalent to  horiz-origin-x=v[1], horiz-origin-y=v[2]",no.,<number>,"The X.coordinate in the font coordinate system of the origin of a glyph to be used when drawing horizontally oriented text. (Note that the origin applies to all glyphs in the font.) If the attribute is not specified, the effect is as if a value of '0' were specified."
feBlend,in12,in|in2,"in12 =v is equivalent to  in=v[1], in2=v[2]",,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feBlend,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feColorMatrix,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feComponentTransfer,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feComposite,in12,in|in2,"in12 =v is equivalent to  in=v[1], in2=v[2]",,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feComposite,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feConvolveMatrix,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feDiffuseLighting,in1,in,Alias for in,,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
feDisplacementMap,in12,in|in2,"in12 =v is equivalent to  in=v[1], in2=v[2]",,SourceGraphic,"This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)"
